단축코드,한글 종목약명,상장주식수
263020,디케이앤디,15069831
290550,디케이티,18894839
66670,디티씨,18691918
187220,디티앤씨,11698021
383930,디티앤씨알오,12770512
163430,디피코,9829553
131180,딜리,29350000
315640,딥노이드,22421268
223310,딥마인드,22839375
317120,라닉스,9660000
42510,라온시큐어,56025871
232680,라온테크,12534234
418420,라온텍,30108433
300120,라온피플,20860012
171120,라이온켐텍,35901760
388790,라이콤,29913930
347700,라이프시맨틱스,15664510
214260,라파스,8667916
403360,라피치,2904000
115390,락앤락,43326411
200350,래몽래인,9828153
171010,램테크놀러지,14204056
84650,랩지노믹스,74239990
217500,러셀,31812000
92590,럭스피아,7291098
38390,레드캡투어,8589480
294140,레몬,21000000
443250,레뷰코퍼레이션,11179386
228670,레이,15396774
228850,레이언스,16591014
412350,레이저쎌,8706472
199550,레이저옵텍,11512833
281740,레이크머티리얼즈,65730548
277810,레인보우로보틱스,19399858
215100,로보로보,20348454
90360,로보스타,9750000
238500,로보쓰리에이아이,38073488
108490,로보티즈,13045168
900260,로스웰,36031288
223220,로지스몬,46051176
67730,로지시스,9673922
71280,로체시스템즈,15296603
32350,롯데관광개발,76185869
89860,롯데렌탈,36634063
330590,롯데리츠,242968884
400,롯데손해보험,310336320
23530,롯데쇼핑,28288755
20150,롯데에너지머티리얼즈,46110835
280360,롯데웰푸드,9434574
286940,롯데이노베이트,15396331
4000,롯데정밀화학,25800000
00499K,롯데지주우,805603
4990,롯데지주,104909237
5305,롯데칠성우,775310
5300,롯데칠성,9278884
11170,롯데케미칼,42775419
71840,롯데하이마트,23607712
328130,루닛,28830630
38060,루멘스,48103069
162120,루켄테크놀러지스,10989936
253610,루트락,10104305
60240,룽투코리아,25429284
141080,리가켐바이오,36165693
58470,리노공업,15242370
16100,리더스코스메틱,19100894
12700,리드코프,26446135
302550,리메드,30638080
73570,리튬포어스,35970918
377450,리파인,17330000
277070,린드먼아시아,13692000
42500,링네트,19070134
193250,링크드,63323377
219420,링크제니시스,11469507
439090,마녀공장,16378260
27740,마니커,63511228
195500,마니커에프앤지,15928000
357430,마스턴프리미어리츠,26580000
377480,마음AI,6177383
305090,마이크로디지탈,15636664
448780,마이크로엔엑스,2677680
424980,마이크로투나노,5918890
169330,엠브레인,18256918
38290,마크로젠,10841400
1080,만호제강,4150000
267980,매일유업,7843638
5990,매일홀딩스,13718304
93520,매커스,16163092
377030,맥스트,19570882
88980,맥쿼리인프라,435781355
179720,머니무브,2059047
100590,머큐리,15830023
67280,멀티캠퍼스,5926779
72870,메가스터디,11920959
215200,메가스터디교육,11694474
133750,메가엠디,23407077
446540,메가터치,20771000
235980,메드팩토,33580695
200580,메디쎄이,3726079
41920,메디아나,18598223
233250,메디안디노스틱,1746534
14100,메디앙스,11800000
236340,메디젠휴먼케어,3014647
54180,메디콕스,57151168
86900,메디톡스,7298468
78160,메디포스트,34217785
138040,메리츠금융지주,190720114
408920,메쎄이상,43232455
21880,메이슨캐피탈,152184408
140410,메지온,29754627
241770,메카로,10192640
90370,메타랩스,24904689
59210,메타바이오메드,23862351
58110,멕아이씨에스,16050530
17180,명문제약,33953454
9900,명신산업,52470133
12690,모나리자,36571255
5360,모나미,18897307
434480,모니터랩,12170300
80420,모다이노칩,79721622
417970,모델솔루션,6396700
80160,모두투어,18900000
87260,모바일어플라이언스,32552861
101330,모베이스,23147029
12860,모베이스전자,73233457
363260,모비데이즈,160818847
348030,모비릭스,9603800
250060,모비스,32171314
288980,모아데이타,34556562
142760,모아라이프플러스,37734811
33200,모아텍,14331185
333050,모코엠시스,24255455
9680,모토닉,33000000
118990,모트렉스,24861990
6920,모헨즈,10920000
38340,MIT,26484298
1810,무림SP,22137500
9200,무림페이퍼,41609310
9580,무림P&P,62368324
322970,무진메디,10051978
33920,무학,28500000
8420,문배철강,20503505
279600,미디어젠,4684781
95500,미래나노텍,31009999
254490,미래반도체,14438000
25560,미래산업,30429770
218150,미래생명자원,20415802
7120,미래아이앤지,27883584
396690,미래에셋글로벌리츠,39605940
442900,미래에셋드림스팩1호,7680000
357250,미래에셋맵스리츠,24995105
94800,맵스리얼티1,92834331
100790,미래에셋벤처투자,53124634
412930,미래에셋비전스팩1호,6176000
446190,미래에셋비전스팩2호,4950000
448830,미래에셋비전스팩3호,4920000
85620,미래에셋생명,177016189
6805,미래에셋증권우,14075750
00680K,미래에셋증권2우B,140000000
6800,미래에셋증권,595316408
208890,미래엔에듀파트너,4005520
49950,미래컴퍼니,8817884
207760,미스터블루,80334869
2840,미원상사,4750000
268280,미원에스씨,5000000
107590,미원홀딩스,2320000
134380,미원화학,2199268
351020,미쥬,2075000
3650,미창석유,1739672
59090,미코,33416778
214610,미코바이오메드,43568945
201490,미투온,31257770
452200,민테크,21945300
418470,밀리의서재,8499289
206640,바디텍메드,23486560
18700,바른손,35119757
35620,바른손이앤에이,74439675
354390,바스칸바이오제약,7018247
53030,바이넥스,31761048
301300,바이브컴퍼니,12376522
377740,바이오노트,102056048
64550,바이오니아,25810291
314930,바이오다인,29764103
208710,바이오로그디바이스,62600334
86820,바이오솔루션,8143426
38460,바이오스마트,23076256
251120,바이오에프디엔씨,8695700
199730,바이오인프라,4834367
266470,바이오인프라생명과학,14106847
289170,바이오텐,3511509
86040,바이오톡스텍,15958247
199290,바이오프로테크,16325192
99430,바이오플러스,57930864
32980,바이온,40517904
308080,바이젠셀,19263740
43150,바텍,14854256
323990,박셀바이오,22993200
3610,방림,42314090
267790,배럴,7888500
1340,백광산업,44918407
46310,백금T&A,16418641
35150,백산,22515000
331520,밸로프,50864390
438700,버넥트,11144890
66410,버킷스튜디오,84109926
2410,범양건영,24831982
382900,범한퓨얼셀,8761000
206400,베노티앤알,30736095
19010,베뉴지,48200000
177350,베셀,80372043
424760,벨로크,19545002
7210,벽산,67560000
225530,보광산업,36338727
250000,보라티알,6750733
2760,보락,59900000
3850,보령,68690000
310210,보로노이,17780225
6910,보성파워텍,49129824
890,보해양조,139120129
226340,본느,35447501
206950,볼빅,14077265
8470,부스타,8404800
3000,부광약품,68454671
1275,부국증권우,3000000
1270,부국증권,10369886
26940,부국철강,20000000
14470,부방,60052260
11390,부산산업,1056000
5030,부산주공,78782988
338220,뷰노,13714965
100120,뷰웍스,10001865
406820,뷰티스킨,3534040
337930,브랜드엑스코퍼레이션,29266589
99390,브레인즈컴퍼니,8208283
64480,브리지텍,11952500
288330,브릿지바이오테라퓨틱스,24383808
365900,브이씨,7310300
89970,브이엠,23980595
251630,브이원텍,15942886
18290,브이티,35798007
44480,블레이드 Ent,34298743
439580,블루엠텍,10884589
33560,블루콤,17100000
191600,블루탑,2850000
369370,블리츠웨이스튜디오,49597132
126340,비나텍,6085118
121800,비덴트,77201611
148140,비디아이,19636839
82800,비보존 제약,48211715
318410,비비씨,5555243
2070,비비안,29793990
100220,비상교육,12996741
419540,비스토스,22992511
146320,비씨엔씨,12792923
200780,비씨월드제약,8892384
413640,비아이매트릭스,7206940
141000,비아트론,12114710
90460,비에이치,34464379
83650,비에이치아이,30944375
139050,BF랩스,8644551
445360,비엔케이제1호스팩,4310000
473370,비엔케이제2호스팩,4210000
65170,비엘팜텍,88970559
86670,비엠티,9125174
335890,비올,58419125
230980,비유테크놀러지,93320557
138580,비즈니스온,22556163
126600,BGF에코머티리얼즈,54033275
82920,비츠로셀,22605600
54220,비츠로시스,49160599
42370,비츠로테크,26200025
50090,비케이홀딩스,19784735
148780,비큐 AI,31445725
307870,비투엔,33998194
357880,비트나인,10443956
32850,비트컴퓨터,16623293
238200,비피도,8180000
93190,빅솔론,19238905
65450,빅텍,28652800
210120,빅텐츠,3144610
5180,빙그레,9851241
69540,빛과전자,28626414
72950,빛샘전자,8052610
266170,뿌리깊은나무들,6592267
451250,삐아,9682187
143240,사람인,11709263
3960,사조대림,9164467
8040,사조동아원,141144600
7160,사조산업,5000000
14710,사조씨푸드,17218543
6090,사조오양,9422739
452430,사피엔반도체,7829092
419120,산돌,7774326
122350,삼기,38339428
419050,삼기이브이,57196240
14970,삼륭물산,15125000
18310,삼목에스폼,14700000
12210,삼미금속,35599885
53700,삼보모터스,22877190
9620,삼보산업,50055902
23600,삼보판지,16170000
1470,삼부토건,212037752
28050,삼성E&A,196000000
448730,삼성FN리츠,77300000
6405,삼성SDI우,1617896
6400,삼성SDI,68764530
6660,삼성공조,8126314
425290,삼성스팩6호,5520000
439250,삼성스팩7호,3502000
